,Iteraties (0 indexed),Statistiek,Score (n_runs=12)
292,292,mean,5743.461610486891
293,293,mean,5743.461610486891
294,294,mean,5748.241573033708
295,295,mean,5748.241573033708
296,296,mean,5748.241573033708
297,297,mean,5748.241573033708
298,298,mean,5748.241573033708
299,299,mean,5748.241573033708
300,300,mean,5748.241573033708
301,301,mean,5748.241573033708
302,302,mean,5748.241573033708
303,303,mean,5759.051498127341
304,304,mean,5759.051498127341
305,305,mean,5759.051498127341
306,306,mean,5759.051498127341
307,307,mean,5759.051498127341
308,308,mean,5759.051498127341
309,309,mean,5759.051498127341
310,310,mean,5759.051498127341
311,311,mean,5759.051498127341
312,312,mean,5759.051498127341
313,313,mean,5759.051498127341
314,314,mean,5759.051498127341
315,315,mean,5759.051498127341
316,316,mean,5759.051498127341
317,317,mean,5770.914794007491
318,318,mean,5772.581460674158
319,319,mean,5772.581460674158
320,320,mean,5779.694756554308
321,321,mean,5779.694756554308
322,322,mean,5779.694756554308
323,323,mean,5779.694756554308
324,324,mean,5787.724719101124
325,325,mean,5787.724719101124
326,326,mean,5787.724719101124
327,327,mean,5787.724719101124
328,328,mean,5787.724719101124
329,329,mean,5787.724719101124
330,330,mean,5787.724719101124
331,331,mean,5787.724719101124
332,332,mean,5787.724719101124
333,333,mean,5787.724719101124
334,334,mean,5787.724719101124
335,335,mean,5787.724719101124
336,336,mean,5787.724719101124
337,337,mean,5790.641385767791
338,338,mean,5790.641385767791
339,339,mean,5790.641385767791
340,340,mean,5790.641385767791
341,341,mean,5790.641385767791
342,342,mean,5790.641385767791
343,343,mean,5790.641385767791
344,344,mean,5790.641385767791
345,345,mean,5790.641385767791
346,346,mean,5790.641385767791
347,347,mean,5790.641385767791
348,348,mean,5796.171348314608
349,349,mean,5796.171348314608
350,350,mean,5796.171348314608
351,351,mean,5796.171348314608
352,352,mean,5796.171348314608
353,353,mean,5799.951310861423
354,354,mean,5799.951310861423
355,355,mean,5799.951310861423
356,356,mean,5799.951310861423
357,357,mean,5799.951310861423
358,358,mean,5799.951310861423
359,359,mean,5800.034644194756
360,360,mean,5806.897940074906
361,361,mean,5806.897940074906
362,362,mean,5806.897940074906
363,363,mean,5806.897940074906
364,364,mean,5806.897940074906
365,365,mean,5806.897940074906
366,366,mean,5806.897940074906
367,367,mean,5806.897940074906
368,368,mean,5806.897940074906
369,369,mean,5806.897940074906
370,370,mean,5806.897940074906
371,371,mean,5806.897940074906
372,372,mean,5806.897940074906
373,373,mean,5806.897940074906
374,374,mean,5806.897940074906
375,375,mean,5806.897940074906
376,376,mean,5806.897940074906
377,377,mean,5813.84456928839
378,378,mean,5813.84456928839
379,379,mean,5813.84456928839
380,380,mean,5813.84456928839
381,381,mean,5813.84456928839
382,382,mean,5813.84456928839
383,383,mean,5813.84456928839
384,384,mean,5813.84456928839
385,385,mean,5825.927902621723
386,386,mean,5825.927902621723
387,387,mean,5825.927902621723
388,388,mean,5832.95786516854
389,389,mean,5832.95786516854
390,390,mean,5832.95786516854
391,391,mean,5832.95786516854
392,392,mean,5832.95786516854
393,393,mean,5832.95786516854
394,394,mean,5832.95786516854
395,395,mean,5832.95786516854
396,396,mean,5832.95786516854
397,397,mean,5832.95786516854
398,398,mean,5832.95786516854
399,399,mean,5832.95786516854
400,400,mean,5832.95786516854
401,401,mean,5832.95786516854
402,402,mean,5832.95786516854
403,403,mean,5832.95786516854
404,404,mean,5832.95786516854
405,405,mean,5832.95786516854
406,406,mean,5832.95786516854
407,407,mean,5832.95786516854
408,408,mean,5832.95786516854
409,409,mean,5832.95786516854
410,410,mean,5832.95786516854
411,411,mean,5832.95786516854
412,412,mean,5832.95786516854
413,413,mean,5832.95786516854
414,414,mean,5832.95786516854
415,415,mean,5832.95786516854
416,416,mean,5837.154494382023
417,417,mean,5837.154494382023
418,418,mean,5837.154494382023
419,419,mean,5837.154494382023
420,420,mean,5837.154494382023
421,421,mean,5837.154494382023
422,422,mean,5837.154494382023
423,423,mean,5837.154494382023
424,424,mean,5837.487827715356
425,425,mean,5837.487827715356
426,426,mean,5837.487827715356
427,427,mean,5841.154494382023
428,428,mean,5841.154494382023
429,429,mean,5841.154494382023
430,430,mean,5841.154494382023
431,431,mean,5841.154494382023
432,432,mean,5841.154494382023
433,433,mean,5841.154494382023
434,434,mean,5841.154494382023
435,435,mean,5841.154494382023
436,436,mean,5841.154494382023
437,437,mean,5841.154494382023
438,438,mean,5841.154494382023
439,439,mean,5841.154494382023
440,440,mean,5841.154494382023
441,441,mean,5841.154494382023
442,442,mean,5841.404494382023
443,443,mean,5841.404494382023
444,444,mean,5841.404494382023
445,445,mean,5841.404494382023
446,446,mean,5841.404494382023
447,447,mean,5841.404494382023
448,448,mean,5841.404494382023
449,449,mean,5841.404494382023
450,450,mean,5848.517790262173
451,451,mean,5848.517790262173
452,452,mean,5848.517790262173
453,453,mean,5848.517790262173
454,454,mean,5848.517790262173
455,455,mean,5853.381086142323
456,456,mean,5853.381086142323
457,457,mean,5853.381086142323
458,458,mean,5853.381086142323
459,459,mean,5853.381086142323
460,460,mean,5853.381086142323
461,461,mean,5853.381086142323
462,462,mean,5858.381086142323
463,463,mean,5858.381086142323
464,464,mean,5858.381086142323
465,465,mean,5858.381086142323
466,466,mean,5858.381086142323
467,467,mean,5858.381086142323
468,468,mean,5858.381086142323
469,469,mean,5858.381086142323
470,470,mean,5858.381086142323
471,471,mean,5858.381086142323
472,472,mean,5858.381086142323
473,473,mean,5858.381086142323
474,474,mean,5858.381086142323
475,475,mean,5858.381086142323
476,476,mean,5858.381086142323
477,477,mean,5858.381086142323
478,478,mean,5858.381086142323
479,479,mean,5858.381086142323
480,480,mean,5858.381086142323
481,481,mean,5858.381086142323
482,482,mean,5858.381086142323
483,483,mean,5863.327715355806
484,484,mean,5863.327715355806
485,485,mean,5863.327715355806
486,486,mean,5863.327715355806
487,487,mean,5863.327715355806
488,488,mean,5863.327715355806
489,489,mean,5863.327715355806
490,490,mean,5863.327715355806
491,491,mean,5863.327715355806
492,492,mean,5863.327715355806
493,493,mean,5863.327715355806
494,494,mean,5863.327715355806
495,495,mean,5863.327715355806
496,496,mean,5863.327715355806
497,497,mean,5863.327715355806
498,498,mean,5863.327715355806
499,499,mean,5863.327715355806
500,500,mean,5863.327715355806
501,501,mean,5863.327715355806
502,502,mean,5863.327715355806
503,503,mean,5863.327715355806
504,504,mean,5864.0243445692895
505,505,mean,5864.0243445692895
506,506,mean,5864.0243445692895
507,507,mean,5866.3876404494395
508,508,mean,5866.3876404494395
509,509,mean,5866.3876404494395
510,510,mean,5866.3876404494395
511,511,mean,5866.3876404494395
512,512,mean,5866.3876404494395
513,513,mean,5866.3876404494395
514,514,mean,5866.3876404494395
515,515,mean,5866.3876404494395
516,516,mean,5866.3876404494395
517,517,mean,5866.3876404494395
518,518,mean,5865.3876404494395
519,519,mean,5865.3876404494395
520,520,mean,5865.3876404494395
521,521,mean,5865.3876404494395
522,522,mean,5865.3876404494395
523,523,mean,5865.3876404494395
524,524,mean,5865.3876404494395
525,525,mean,5865.3876404494395
526,526,mean,5865.3876404494395
527,527,mean,5865.3876404494395
528,528,mean,5868.3043071161055
529,529,mean,5882.0308988764045
530,530,mean,5882.0308988764045
531,531,mean,5882.0308988764045
532,532,mean,5882.0308988764045
533,533,mean,5882.0308988764045
534,534,mean,5882.0308988764045
535,535,mean,5882.0308988764045
536,536,mean,5887.4775280898875
537,537,mean,5887.4775280898875
538,538,mean,5887.4775280898875
539,539,mean,5887.4775280898875
540,540,mean,5888.364232209738
541,541,mean,5888.364232209738
542,542,mean,5888.364232209738
543,543,mean,5888.364232209738
544,544,mean,5889.9475655430715
545,545,mean,5889.9475655430715
546,546,mean,5889.9475655430715
547,547,mean,5889.9475655430715
548,548,mean,5889.9475655430715
549,549,mean,5889.9475655430715
550,550,mean,5890.9475655430715
551,551,mean,5890.9475655430715
552,552,mean,5890.9475655430715
553,553,mean,5890.9475655430715
