,Iteraties (0 indexed),Statistiek,Score (n_runs=20)
248,248,mean,5775.880337078652
249,249,mean,5775.830337078652
250,250,mean,5775.830337078652
251,251,mean,5775.980337078652
252,252,mean,5775.980337078652
253,253,mean,5775.980337078652
254,254,mean,5778.780337078651
255,255,mean,5782.612359550561
256,256,mean,5782.612359550561
257,257,mean,5787.080337078652
258,258,mean,5790.230337078652
259,259,mean,5796.998314606742
260,260,mean,5796.998314606742
261,261,mean,5796.998314606742
262,262,mean,5796.948314606741
263,263,mean,5803.280337078651
264,264,mean,5803.280337078651
265,265,mean,5803.280337078651
266,266,mean,5803.280337078651
267,267,mean,5803.280337078651
268,268,mean,5803.280337078651
269,269,mean,5803.280337078651
270,270,mean,5804.780337078651
271,271,mean,5804.780337078651
272,272,mean,5804.780337078651
273,273,mean,5804.780337078651
274,274,mean,5819.784269662921
275,275,mean,5819.784269662921
276,276,mean,5819.784269662921
277,277,mean,5820.0842696629215
278,278,mean,5820.0842696629215
279,279,mean,5820.0842696629215
280,280,mean,5824.102247191011
281,281,mean,5824.102247191011
282,282,mean,5824.102247191011
283,283,mean,5824.102247191011
284,284,mean,5828.6202247191
285,285,mean,5828.6202247191
286,286,mean,5828.6202247191
287,287,mean,5828.6202247191
288,288,mean,5828.6202247191
289,289,mean,5828.6202247191
290,290,mean,5829.7702247191
291,291,mean,5829.420224719101
292,292,mean,5830.15224719101
293,293,mean,5831.10224719101
294,294,mean,5831.10224719101
295,295,mean,5831.10224719101
296,296,mean,5831.10224719101
297,297,mean,5831.35224719101
298,298,mean,5831.35224719101
299,299,mean,5831.35224719101
300,300,mean,5831.80224719101
301,301,mean,5831.80224719101
302,302,mean,5834.252247191011
303,303,mean,5834.252247191011
304,304,mean,5834.252247191011
305,305,mean,5834.252247191011
306,306,mean,5835.60224719101
307,307,mean,5835.734269662921
308,308,mean,5835.934269662921
309,309,mean,5835.934269662921
310,310,mean,5835.934269662921
311,311,mean,5835.934269662921
312,312,mean,5835.934269662921
313,313,mean,5835.934269662921
314,314,mean,5835.934269662921
315,315,mean,5835.934269662921
316,316,mean,5835.734269662921
317,317,mean,5837.566292134832
318,318,mean,5837.566292134832
319,319,mean,5837.566292134832
320,320,mean,5837.566292134832
321,321,mean,5837.566292134832
322,322,mean,5837.566292134832
323,323,mean,5837.566292134832
324,324,mean,5839.398314606741
325,325,mean,5839.398314606741
326,326,mean,5839.398314606741
327,327,mean,5839.398314606741
328,328,mean,5839.398314606741
329,329,mean,5839.398314606741
330,330,mean,5839.398314606741
331,331,mean,5843.266292134832
332,332,mean,5843.266292134832
333,333,mean,5843.266292134832
334,334,mean,5843.266292134832
335,335,mean,5843.266292134832
336,336,mean,5846.166292134832
337,337,mean,5846.166292134832
338,338,mean,5846.166292134832
339,339,mean,5846.166292134832
340,340,mean,5847.266292134832
341,341,mean,5847.266292134832
342,342,mean,5847.348314606741
343,343,mean,5847.348314606741
344,344,mean,5847.348314606741
345,345,mean,5847.348314606741
346,346,mean,5847.348314606741
347,347,mean,5847.348314606741
348,348,mean,5848.862359550561
349,349,mean,5848.862359550561
350,350,mean,5848.862359550561
351,351,mean,5848.862359550561
352,352,mean,5848.862359550561
353,353,mean,5848.862359550561
354,354,mean,5848.862359550561
355,355,mean,5848.862359550561
356,356,mean,5849.362359550561
357,357,mean,5849.362359550561
358,358,mean,5849.362359550561
359,359,mean,5849.362359550561
360,360,mean,5849.362359550561
361,361,mean,5849.362359550561
362,362,mean,5849.362359550561
363,363,mean,5849.362359550561
364,364,mean,5849.362359550561
365,365,mean,5849.362359550561
366,366,mean,5849.362359550561
367,367,mean,5849.362359550561
368,368,mean,5849.362359550561
